date,obs_fraction
2023-06-02,0.134766
2023-06-05,0.185791
2023-06-06,0.176025
2023-06-07,0.188477
2023-06-08,0.177490
2023-06-09,0.177979
2023-06-12,0.153320
2023-06-13,0.183838
2023-06-14,0.186035
2023-06-15,0.181152
2023-06-16,0.163330
2023-06-20,0.172852
2023-06-21,0.177734
2023-06-22,0.191162
2023-06-23,0.201660
2023-06-26,0.187744
2023-06-27,0.190186
2023-06-28,0.167236
2023-06-29,0.138428
2023-06-30,0.159180
2023-07-03,0.177979
2023-07-05,0.188232
2023-07-06,0.202881
2023-07-07,0.207520
2023-07-10,0.179688
2023-07-11,0.194092
2023-07-12,0.171875
2023-07-13,0.141357
2023-07-14,0.145752
2023-07-17,0.174316
2023-07-18,0.139648
2023-07-19,0.179199
2023-07-20,0.185303
2023-07-21,0.185303
2023-07-24,0.187744
2023-07-25,0.181885
2023-07-26,0.177002
2023-07-27,0.176025
2023-07-28,0.189941
2023-07-31,0.127197
2023-08-01,0.188232
2023-08-02,0.187988
